Channel Id,Channel Url,Channel Title
UC9zRO0zF3r8vpa_RL80OqDQ,http://www.youtube.com/channel/UC9zRO0zF3r8vpa_RL80OqDQ,Oberheim Official
UCA33Nw-fSCPuFeBFLibChvg,http://www.youtube.com/channel/UCA33Nw-fSCPuFeBFLibChvg,Ethan Davis
UCAIfWsWcFwncQv_ETAOL-Eg,http://www.youtube.com/channel/UCAIfWsWcFwncQv_ETAOL-Eg,Parlogram
UCAMR64jzvyg7lqTXIsNH-Mw,http://www.youtube.com/channel/UCAMR64jzvyg7lqTXIsNH-Mw,Hyperspace Stories
UCAa4GphIbgerUIEbdvKBVVg,http://www.youtube.com/channel/UCAa4GphIbgerUIEbdvKBVVg,OTOMACHINES
UCAlTDckOOQ2jREOvuCShGbw,http://www.youtube.com/channel/UCAlTDckOOQ2jREOvuCShGbw,Bob Marley
UCAuUUnT6oDeKwE6v1NGQxug,http://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug,TED
UCB0ABGbdSggBXLF0UdN4d5A,http://www.youtube.com/channel/UCB0ABGbdSggBXLF0UdN4d5A,The Muppets
UCBD5sJsQ4GGKlqydRHXdwYA,http://www.youtube.com/channel/UCBD5sJsQ4GGKlqydRHXdwYA,Kieran Hayes Photography
UCBXWuHtNIyfDPJVr-Jsu3kA,http://www.youtube.com/channel/UCBXWuHtNIyfDPJVr-Jsu3kA,Jason Roberts Video
UCB_Z6rBg3WW3NL4-QimhC2A,http://www.youtube.com/channel/UCB_Z6rBg3WW3NL4-QimhC2A,The Rolling Stones
UCBgX7mBIBtEunDOZIq3HAVw,http://www.youtube.com/channel/UCBgX7mBIBtEunDOZIq3HAVw,Paul Reid Photography
UCBmsCrH4fxoENqJ9CHLQoHQ,http://www.youtube.com/channel/UCBmsCrH4fxoENqJ9CHLQoHQ,Taku Kumabe
UCBymlfdKqfkvjBHn-cZOHbw,http://www.youtube.com/channel/UCBymlfdKqfkvjBHn-cZOHbw,New Canaan Museum & Historical Society
UCBzjMuMvcakrvEzSSo4fZkQ,http://www.youtube.com/channel/UCBzjMuMvcakrvEzSSo4fZkQ,Magic of Light by photographer Thorsten Overgaard
UCC4-T-r8FWh9Gl3UyK3BLNg,http://www.youtube.com/channel/UCC4-T-r8FWh9Gl3UyK3BLNg,Classic Prairie Home Companion
UCCMo6F7pLIg_xF0wD-M6oHQ,http://www.youtube.com/channel/UCCMo6F7pLIg_xF0wD-M6oHQ,HDpiano
UCCbP5cOWp9s75x_r6xq7LcQ,http://www.youtube.com/channel/UCCbP5cOWp9s75x_r6xq7LcQ,Fatboy Slim
UCCj956IF62FbT7Gouszaj9w,http://www.youtube.com/channel/UCCj956IF62FbT7Gouszaj9w,BBC
UCCwXWdQplS9iGCr1ivXHcJg,http://www.youtube.com/channel/UCCwXWdQplS9iGCr1ivXHcJg,Music Vault
UCDEPOd0RCvw8iSTqFpSBZLA,http://www.youtube.com/channel/UCDEPOd0RCvw8iSTqFpSBZLA,Phish
UCE2QXz8z98q2NV5QqkdICrA,http://www.youtube.com/channel/UCE2QXz8z98q2NV5QqkdICrA,Wimberley Inc
UCE726FE44ZKHuu8bN5kTz1A,http://www.youtube.com/channel/UCE726FE44ZKHuu8bN5kTz1A,RRGEMS Records
UCEAY1udDi0HBnu7BbxDsJUg,http://www.youtube.com/channel/UCEAY1udDi0HBnu7BbxDsJUg,DIY PETE
UCEMECcqKDyCvPGllKz_8Yug,http://www.youtube.com/channel/UCEMECcqKDyCvPGllKz_8Yug,Breakdowns & Blockbusters
UCEWI9tVwBLw4fF4WO3t966Q,http://www.youtube.com/channel/UCEWI9tVwBLw4fF4WO3t966Q,Scott Dawson
UCEiY6nJkk7h9l_ZZtN4Xwmw,http://www.youtube.com/channel/UCEiY6nJkk7h9l_ZZtN4Xwmw,acousticsoundsks
UCEu4zYAMGPBi3vGAiEA5srg,http://www.youtube.com/channel/UCEu4zYAMGPBi3vGAiEA5srg,Seu Jorge
UCF2Y92xJORglC1xLO_zyObQ,http://www.youtube.com/channel/UCF2Y92xJORglC1xLO_zyObQ,Wex Photo Video
UCFC8Vt3FY_7svm_SOBK5aIQ,http://www.youtube.com/channel/UCFC8Vt3FY_7svm_SOBK5aIQ,The Dick Cavett Show
UCFQKBD-GEwrGu3wBN_0yA7Q,http://www.youtube.com/channel/UCFQKBD-GEwrGu3wBN_0yA7Q,Paul Solt
UCFRPSrN7QpjP8yPsvaE-ojg,http://www.youtube.com/channel/UCFRPSrN7QpjP8yPsvaE-ojg,healthyatnbcu
UCFSILgKCKo35QYGz8Kob51g,http://www.youtube.com/channel/UCFSILgKCKo35QYGz8Kob51g,StudiocanalUK
UCFb0L4MQziTjEsJKTbFgm8Q,http://www.youtube.com/channel/UCFb0L4MQziTjEsJKTbFgm8Q,SCTV
UCFeQix9SwTbEjQCG0JUphRg,http://www.youtube.com/channel/UCFeQix9SwTbEjQCG0JUphRg,Deaf Crocodile
UCGE-VtWSIea24zojUwpeBYg,http://www.youtube.com/channel/UCGE-VtWSIea24zojUwpeBYg,Christopher Hazard
UCGXN_HBlsni3oe1kKc-5B-A,http://www.youtube.com/channel/UCGXN_HBlsni3oe1kKc-5B-A,Uncle Floyd Show
UCG_Fc7mz0mbEMYnXDhfZlTQ,http://www.youtube.com/channel/UCG_Fc7mz0mbEMYnXDhfZlTQ,BahrCreative
UCGm3CO6LPcN-Y7HIuyE0Rew,http://www.youtube.com/channel/UCGm3CO6LPcN-Y7HIuyE0Rew,Monty Python
UCGtZHv5KB7V8G2THzaQHcaA,http://www.youtube.com/channel/UCGtZHv5KB7V8G2THzaQHcaA,Stephen Colbert
UCHHqGs3reVzjf7LmC5F4ltA,http://www.youtube.com/channel/UCHHqGs3reVzjf7LmC5F4ltA,Star Wars: Tales Untold
UCHOK_U0uaPeZNwykaaHS1sQ,http://www.youtube.com/channel/UCHOK_U0uaPeZNwykaaHS1sQ,Rupert Neve
UCHP-KQAJgXu4Wo2Xq4-eNow,http://www.youtube.com/channel/UCHP-KQAJgXu4Wo2Xq4-eNow,Reverb
UCHbpiYXpB976y4SnxIt126w,http://www.youtube.com/channel/UCHbpiYXpB976y4SnxIt126w,LateNighter
UCHgtMt-E5Ok85Xlem9btqFg,http://www.youtube.com/channel/UCHgtMt-E5Ok85Xlem9btqFg,All you need is Blues & Jazz
UCHtlpRY1PbvsyxrHXV429mQ,http://www.youtube.com/channel/UCHtlpRY1PbvsyxrHXV429mQ,Hank Dietle's Tavern
UCHyjsn5b0SSktKrbXSZJWrA,http://www.youtube.com/channel/UCHyjsn5b0SSktKrbXSZJWrA,Kyle Meshna
UCI3XOx7AS4fKGmu4zCaWgFA,http://www.youtube.com/channel/UCI3XOx7AS4fKGmu4zCaWgFA,Radio Heartland
UCI4-lWlKDRdWQ6_k9zOn5yg,http://www.youtube.com/channel/UCI4-lWlKDRdWQ6_k9zOn5yg,The Shakedown Archives
UCINb0wqPz-A0dV9nARjJlOQ,http://www.youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ,The Dodo
UCIO96VjIY-1e5H1O2H6Km9Q,http://www.youtube.com/channel/UCIO96VjIY-1e5H1O2H6Km9Q,Women's March
UCIcCXe3iWo6lq-iWKV40Oug,http://www.youtube.com/channel/UCIcCXe3iWo6lq-iWKV40Oug,In The Mix
UCIcgGfaeUGYJSo7bLeUr1hw,http://www.youtube.com/channel/UCIcgGfaeUGYJSo7bLeUr1hw,United States Courts
UCIfHxEN9eJ64od9fSZ_gYeg,http://www.youtube.com/channel/UCIfHxEN9eJ64od9fSZ_gYeg,BOB BRADLEY
UCIlmkqi7QPZYd7JcNHspD3Q,http://www.youtube.com/channel/UCIlmkqi7QPZYd7JcNHspD3Q,Tag Of Bricks
UCJNky9LM9wx0cmWfrg5eUcw,http://www.youtube.com/channel/UCJNky9LM9wx0cmWfrg5eUcw,I'm not Norm
UCJam6x5jrbVwDT9ql9KJ_Ig,http://www.youtube.com/channel/UCJam6x5jrbVwDT9ql9KJ_Ig,Chemical Engineering Guy
UCJcKDUFFnnSYRQ6oiYDYF8A,http://www.youtube.com/channel/UCJcKDUFFnnSYRQ6oiYDYF8A,mathphotographer
