Video ID,Playlist Video Creation Timestamp
F57T-8CacLE,2018-07-12T03:21:26+00:00
S6lw-vML_4c,2018-07-12T03:21:39+00:00
jWdZ0wb86NQ,2018-07-12T03:21:59+00:00
kQugovCbU30,2018-07-12T03:22:08+00:00
cOlFKvvl1cw,2018-07-12T03:22:23+00:00
yawlXIEn9ic,2018-07-12T03:22:32+00:00
SmtXiGwIEKY,2018-07-12T03:22:44+00:00
BDT7lw1RICU,2018-07-12T03:22:54+00:00
4AfiauBKVd8,2018-09-04T20:22:25+00:00
i749LeO7TWo,2018-09-04T20:22:59+00:00
ygWDELfqHpY,2018-09-04T20:23:23+00:00
EN7xlcTsnu4,2018-09-04T20:25:38+00:00
fOJgd2-hN0Q,2018-09-04T20:25:52+00:00
IZtzGor7x6s,2018-09-04T20:28:28+00:00
LQw6daeU2LM,2018-09-07T23:42:18+00:00
Qj7thEm_9OA,2018-09-08T13:50:28+00:00
_68IcOf9yAk,2018-09-09T00:33:05+00:00
vGhMdhdDIlM,2018-11-02T23:12:40+00:00
bu2tP1sIfN8,2018-11-15T22:17:20+00:00
JpwClgYG0p4,2018-11-15T22:17:48+00:00
t90kEAHtsQA,2018-11-15T22:20:35+00:00
_1o8psszk88,2018-11-15T22:20:50+00:00
mNbSgMEZ_Tw,2018-11-16T04:26:17+00:00
7Hs3AZwynbw,2018-11-27T23:50:02+00:00
MmUs6b2gU1E,2018-11-27T23:52:03+00:00
VvoklnAZFGM,2018-11-27T23:54:57+00:00
veKZalt-8Hw,2018-11-27T23:55:50+00:00
xRRT_nVna0k,2018-11-27T23:56:31+00:00
CxNLAlzHKok,2019-01-10T23:53:41+00:00
Z6qgAwBeavI,2019-01-10T23:54:39+00:00
2oZ16SCBAr8,2019-01-21T04:57:20+00:00
rdHjcskCNGc,2019-01-21T04:58:03+00:00
raD1MR05sqA,2019-01-21T04:59:05+00:00
6LKCslq8fbE,2019-03-04T20:27:51+00:00
BbWuON-LtD8,2019-03-12T16:58:19+00:00
nIewkBotrQM,2019-03-15T01:58:41+00:00
rfWZuYFSgec,2019-03-15T01:59:17+00:00
J96kWQrMM0E,2019-03-15T01:59:46+00:00
93cnbkilhHE,2019-03-15T02:01:02+00:00
F07xf7LoXQo,2019-03-18T03:30:06+00:00
ktpMHztvVjU,2019-03-18T03:30:41+00:00
9kEjfA7akdo,2019-03-18T03:32:15+00:00
fpKQOvlDr-s,2019-05-16T18:46:42+00:00
AFesGVRxEbs,2019-06-02T13:46:34+00:00
eCz89JkVmpI,2019-06-02T13:47:30+00:00
JaK2-8je4GY,2019-06-02T13:47:41+00:00
mwq8eRRz0lA,2019-06-02T13:47:59+00:00
HV7EX_nl6ZI,2019-06-02T13:48:24+00:00
rtuGyrEywzU,2019-06-02T13:49:07+00:00
g9Lpm1bEUgg,2019-06-11T15:00:17+00:00
aeNxt4h-oIM,2019-06-11T15:00:31+00:00
JHTXZW1X1gk,2019-06-11T15:00:42+00:00
wMZPfX8AmcY,2019-06-12T01:40:58+00:00
Q5mT-Z0i1Z0,2019-06-12T01:41:26+00:00
QNQ_13CrfmA,2019-06-12T01:41:49+00:00
6LDW9NyEriI,2019-06-12T01:41:57+00:00
txYWn9TnVBc,2019-06-12T01:42:25+00:00
veR6xoMP5Dg,2019-06-15T23:35:00+00:00
pNBcc-Us_NE,2019-06-15T23:35:29+00:00
dXvkmJJAoVQ,2019-06-15T23:36:29+00:00
t_W8Y1Hzwao,2019-06-16T15:39:03+00:00
sUwC6tDJD1o,2019-06-17T12:42:10+00:00
WsCmUA71YRI,2019-06-19T14:25:07+00:00
aIpmpm9Yg44,2019-06-19T14:25:18+00:00
kuNkghUUFEA,2019-06-19T14:25:28+00:00
Y4TW70xVkmU,2019-07-05T14:50:46+00:00
yXbpxNghcCw,2019-07-11T16:17:00+00:00
0ZmR-T0jilA,2019-07-11T16:18:19+00:00
E8MzsuDqCk4,2019-07-21T13:48:50+00:00
gLzhq0EBUz4,2019-07-21T13:51:38+00:00
SEdOYaUdm60,2019-07-21T13:52:25+00:00
nVP6onBEVRg,2019-08-09T18:13:52+00:00
k2pBgYBI30s,2019-08-11T14:37:04+00:00
lPRxHU9Zr0g,2019-08-11T14:37:31+00:00
lPRxHU9Zr0g,2019-08-11T14:37:32+00:00
lPRxHU9Zr0g,2019-08-11T14:37:39+00:00
szky-sP7ok4,2019-09-04T18:07:55+00:00
FlvLboVuSjY,2019-10-11T05:07:05+00:00
qAR3VAOXOqw,2019-10-14T18:44:13+00:00
3QToEXHNsqM,2019-11-19T03:28:33+00:00
sLM5EYGFeOc,2019-11-19T03:30:29+00:00
QFhH8sSIvsA,2019-12-09T22:15:45+00:00
IsHVqO2X-nQ,2019-12-11T20:21:47+00:00
LJtUtF2gxK4,2019-12-23T04:15:39+00:00
GIprIP2ADLE,2020-02-11T21:43:39+00:00
xf_NpgbNSTY,2020-04-05T04:30:04+00:00
Xe2u7ogAgtQ,2020-04-05T21:32:07+00:00
_EhrB95mWOw,2020-04-05T21:33:31+00:00
