Video ID,Playlist Video Creation Timestamp
w7IBiJf60hY,2020-04-13T18:30:36+00:00
dRwq9HrkTI0,2020-04-14T16:53:21+00:00
hokGXqEsCXk,2020-04-17T19:20:53+00:00
Jm0psINp6VE,2020-04-17T23:03:20+00:00
 -omUWBI--4w,2020-04-17T23:03:49+00:00
AwOLjPcFyYQ,2020-04-17T23:03:58+00:00
eiEZZuQTG1w,2020-04-17T23:04:06+00:00
jNr4Urc_erw,2020-04-17T23:04:13+00:00
NGzYWDZD4gI,2020-04-17T23:04:21+00:00
4yu7PFu36-o,2020-04-17T23:04:31+00:00
unFQogrCsrs,2020-04-26T22:04:13+00:00
b1c_y0PR7QE,2020-04-26T22:04:36+00:00
0uKcNXD4GmQ,2020-04-26T22:04:48+00:00
U8sr1Jnticw,2020-04-26T22:04:56+00:00
jPrQYYlFPA4,2020-04-26T22:05:25+00:00
onq0yTA-J_M,2020-04-26T22:05:40+00:00
ILK-02_1i40,2020-04-26T22:05:55+00:00
x5U2K_iN_lU,2020-04-26T22:06:14+00:00
G_CidBi8S9o,2020-04-26T22:06:29+00:00
hR3lVxqgaMA,2020-04-26T22:06:34+00:00
yx1SfR9DV3k,2020-04-26T22:06:45+00:00
8M9PtqpNUQY,2020-04-26T22:06:58+00:00
6Pi3UQ67Zu4,2020-04-26T22:07:22+00:00
KXEjX_SVAOQ,2020-04-26T22:07:29+00:00
KlcHi4c_22w,2020-04-26T22:07:37+00:00
TI6xUJ4fmDk,2020-04-26T22:08:20+00:00
XiK8AsNba4c,2020-04-26T22:08:28+00:00
HM-IKPxSCMw,2020-04-26T22:08:35+00:00
Ew8LBcXhvJw,2020-04-26T22:08:41+00:00
4asow5Rr9OA,2020-04-26T22:08:46+00:00
_DRImik3MBo,2020-04-26T22:08:51+00:00
SmrQ0BNrMoU,2020-04-26T22:08:57+00:00
53LYEzZ1s7A,2020-04-26T22:09:04+00:00
Gh5cjk2E86w,2020-04-26T22:09:07+00:00
twFZb24SOJI,2020-04-26T22:09:14+00:00
uWh1ur7B5FI,2020-04-26T22:09:20+00:00
r0oY7OEg4Ik,2020-04-26T22:09:27+00:00
 -jNGnAcNj5I,2020-04-26T22:09:48+00:00
rQrcvXAZL9M,2020-04-26T22:09:54+00:00
5DIbUa2RClM,2020-04-26T22:10:01+00:00
8BN_Tyl8c00,2020-04-26T22:11:15+00:00
ktDsE09W2Rk,2020-04-26T22:12:17+00:00
eO66668JHtA,2020-04-26T22:12:36+00:00
YRRNu1CD4AM,2020-04-26T22:12:59+00:00
wisJUKA3iys,2020-04-27T21:02:58+00:00
i8NuY4Buyi8,2020-04-27T21:03:22+00:00
vWScnyZt-M0,2020-04-27T21:03:39+00:00
1mz43B4cK1I,2020-05-05T17:31:20+00:00
22FCSMEUGcM,2020-05-05T17:32:08+00:00
Z5AxkUe03GM,2020-05-10T17:19:01+00:00
VnCvS2A7REo,2020-05-10T17:19:44+00:00
v72W-S-hMsk,2020-05-27T16:37:14+00:00
QaMvpDDuGuw,2020-07-12T02:54:18+00:00
tWoOXozux_c,2020-07-12T02:58:12+00:00
lzuYS_I8dpo,2020-07-12T02:58:25+00:00
z32RGWIURJ8,2020-07-12T02:58:51+00:00
Qi-e0dKczJc,2020-07-12T02:59:02+00:00
iR4_D6P6Hrc,2020-07-12T02:59:26+00:00
A-CqDFfJ0Rc,2020-07-12T03:00:17+00:00
YDgqP_4Q_fM,2020-07-12T03:00:34+00:00
A8rVM8GlD4c,2020-07-12T03:00:52+00:00
