Video ID,Playlist Video Creation Timestamp
1_fnn-6X3lw,2018-05-31T17:31:31+00:00
U6OoCaGsz94,2018-05-31T20:23:24+00:00
dUA7lHvAr0E,2018-06-03T16:47:05+00:00
lMlbRv8dnuE,2019-06-10T03:10:02+00:00





